"id","name"
"__setup__.product_price_category_C1","C1"
"__setup__.product_price_category_C2","C2"
"__setup__.product_price_category_C3","C3"
"__setup__.product_price_category_C4","C4"
"__setup__.product_price_category_C5","C5"
"__setup__.product_price_category_C6","C6"
"__setup__.product_price_category_training","Training"
"__setup__.product_price_category_unbundle","Unbundle units"
"__setup__.product_price_category_spare","Replacements, spares & accessories"
