id,product_tmpl_id/id,product_qty,code,active,type,company_id/id,previous_bom_id/id,product_uom_id/id,sequence
"__setup__.mrp_bom_3973","__setup__.product_template_584","2.0","","true","normal","base.main_company","__setup__.mrp_bom_3967","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3974","__setup__.product_template_1528","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3967","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3975","__setup__.product_template_1617","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3967","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3976","__setup__.product_template_1716","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3967","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3977","__setup__.product_template_1719","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3967","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3978","__setup__.product_template_1717","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3967","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3979","__setup__.product_template_1741","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3967","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3980","__setup__.product_template_1910","1.0","","true","normal","base.main_company","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3981","__setup__.product_template_733","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3980","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3982","__setup__.product_template_781","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3980","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3983","__setup__.product_template_1483","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3688","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3984","__setup__.product_template_710","1.0","","true","normal","__setup__.company_mte","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3985","__setup__.product_template_1696","1.0","","true","normal","__setup__.company_mte","__setup__.mrp_bom_3984","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3986","__setup__.product_template_1698","1.0","","true","normal","__setup__.company_mte","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3987","__setup__.product_template_1805","1.0","","true","normal","__setup__.company_mte","__setup__.mrp_bom_3986","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3988","__setup__.product_template_1697","1.0","","true","normal","__setup__.company_mte","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3989","__setup__.product_template_1843","1.0","","true","normal","__setup__.company_mte","__setup__.mrp_bom_3988","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3990","__setup__.product_template_1279","1.0","","true","normal","__setup__.company_mte","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3991","__setup__.product_template_1301","1.0","","true","normal","__setup__.company_mte","__setup__.mrp_bom_3990","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3992","__setup__.product_template_1285","1.0","","true","normal","__setup__.company_mte","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3993","__setup__.product_template_1301","1.0","","true","normal","__setup__.company_mte","__setup__.mrp_bom_3992","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3994","__setup__.product_template_1839","1.0","","true","normal","__setup__.company_mte","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3995","__setup__.product_template_1841","1.0","","true","normal","__setup__.company_mte","__setup__.mrp_bom_3994","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3996","__setup__.product_template_1837","1.0","","true","normal","__setup__.company_mte","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3997","__setup__.product_template_1807","1.0","","true","normal","__setup__.company_mte","__setup__.mrp_bom_3996","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3998","__setup__.product_template_1291","1.0","","true","normal","__setup__.company_mte","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3999","__setup__.product_template_1293","1.0","","true","normal","__setup__.company_mte","__setup__.mrp_bom_3998","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4000","__setup__.product_template_1921","1.0","","true","normal","base.main_company","__setup__.mrp_bom_2197","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4001","__setup__.product_template_1921","1.0","","true","normal","base.main_company","__setup__.mrp_bom_2281","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4002","__setup__.product_template_1921","1.0","","true","normal","base.main_company","__setup__.mrp_bom_2713","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4004","__setup__.product_template_1921","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3651","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4005","__setup__.product_template_1924","1.0","","true","normal","base.main_company","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_4006","__setup__.product_template_1741","1.0","","true","normal","base.main_company","__setup__.mrp_bom_4005","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4007","__setup__.product_template_488","1.0","","true","normal","base.main_company","__setup__.mrp_bom_1555","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4008","__setup__.product_template_1762","1.0","","true","normal","base.main_company","__setup__.mrp_bom_2956","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4009","__setup__.product_template_1746","1.0","","true","normal","base.main_company","__setup__.mrp_bom_2956","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4010","__setup__.product_template_305","2.0","","true","normal","base.main_company","__setup__.mrp_bom_2956","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4011","__setup__.product_template_1746","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3902","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4012","__setup__.product_template_1762","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3902","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4013","__setup__.product_template_305","2.0","","true","normal","base.main_company","__setup__.mrp_bom_3902","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4014","__setup__.product_template_1746","1.0","","true","normal","base.main_company","__setup__.mrp_bom_2685","product.product_uom_categ_unit",""
"__setup__.mrp_bom_4015","__setup__.product_template_305","1.0","","true","normal","base.main_company","__setup__.mrp_bom_2685","product.product_uom_categ_unit",""
