"id","company_id/id","name"
"__setup__.sf_inventory_category_A1","base.main_company","A1"
"__setup__.sf_inventory_category_A2","base.main_company","A2"
"__setup__.sf_inventory_category_A3","base.main_company","A3"
"__setup__.sf_inventory_category_B1","base.main_company","B1"
"__setup__.sf_inventory_category_B2","base.main_company","B2"
"__setup__.sf_inventory_category_B3","base.main_company","B3"
"__setup__.sf_inventory_category_C1","base.main_company","C1"
"__setup__.sf_inventory_category_C2","base.main_company","C2"
"__setup__.sf_inventory_category_C3","base.main_company","C3"
