id,name
__setup__.vat_tag_302,Switzerland VAT Form: grid 302a
__setup__.vat_tag_302b,Switzerland VAT Form: grid 302b
__setup__.vat_tag_342,Switzerland VAT Form: grid 342a
__setup__.vat_tag_342b,Switzerland VAT Form: grid 342b
