"id","company_id/id","fields_id/id","name","type","value_reference","res_id/id"
"sc.account_properties_ex2_187","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_187"
"sc.account_properties_ex1_188","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_188"
"sc.account_properties_ex2_188","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_188"
"sc.account_properties_ex1_190","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_190"
"sc.account_properties_ex2_190","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_190"
"sc.account_properties_ex1_198","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_198"
"sc.account_properties_ex2_198","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_198"
"sc.account_properties_ex1_203","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_203"
"sc.account_properties_ex2_203","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_203"
"sc.account_properties_ex1_204","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_204"
"sc.account_properties_ex2_204","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_204"
"sc.account_properties_ex1_213","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_213"
"sc.account_properties_ex2_213","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_213"
"sc.account_properties_ex1_229","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_1188","__setup__.product_template_229"
"sc.account_properties_ex2_229","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2048","__setup__.product_template_229"
"sc.account_properties_ex1_230","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_1134","__setup__.product_template_230"
"sc.account_properties_ex2_230","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2039","__setup__.product_template_230"
"sc.account_properties_ex1_231","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_1195","__setup__.product_template_231"
"sc.account_properties_ex2_234","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_234"
"sc.account_properties_ex1_236","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_236"
"sc.account_properties_ex2_236","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_236"
"sc.account_properties_ex1_240","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_240"
"sc.account_properties_ex2_240","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_240"
"sc.account_properties_ex1_242","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_242"
"sc.account_properties_ex2_242","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_242"
"sc.account_properties_ex1_243","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_243"
"sc.account_properties_ex2_243","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_243"
"sc.account_properties_ex1_252","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_252"
"sc.account_properties_ex2_252","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_252"
"sc.account_properties_ex1_255","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_255"
"sc.account_properties_ex2_255","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_255"
"sc.account_properties_ex1_256","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_256"
"sc.account_properties_ex2_256","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_256"
"sc.account_properties_ex1_257","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_257"
"sc.account_properties_ex2_257","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_257"
"sc.account_properties_ex1_258","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_258"
"sc.account_properties_ex2_258","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_258"
"sc.account_properties_ex1_259","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_259"
"sc.account_properties_ex2_259","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_259"
"sc.account_properties_ex1_260","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_260"
"sc.account_properties_ex2_260","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_260"
"sc.account_properties_ex1_261","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_261"
"sc.account_properties_ex2_261","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_261"
"sc.account_properties_ex1_264","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_264"
"sc.account_properties_ex2_264","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_264"
"sc.account_properties_ex1_266","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_266"
"sc.account_properties_ex2_266","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_266"
"sc.account_properties_ex1_267","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_267"
"sc.account_properties_ex2_267","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_267"
"sc.account_properties_ex1_268","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_268"
"sc.account_properties_ex2_268","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_268"
"sc.account_properties_ex1_269","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_269"
"sc.account_properties_ex2_269","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_269"
"sc.account_properties_ex1_270","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_270"
"sc.account_properties_ex2_270","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_270"
"sc.account_properties_ex1_271","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_271"
"sc.account_properties_ex2_271","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_271"
"sc.account_properties_ex1_272","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_272"
"sc.account_properties_ex2_272","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_272"
"sc.account_properties_ex1_274","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_274"
"sc.account_properties_ex2_274","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_274"
"sc.account_properties_ex1_276","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_276"
"sc.account_properties_ex2_276","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_276"
"sc.account_properties_ex1_282","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_282"
"sc.account_properties_ex2_282","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_282"
"sc.account_properties_ex1_283","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_283"
"sc.account_properties_ex2_283","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_283"
"sc.account_properties_ex1_284","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_284"
"sc.account_properties_ex2_284","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_284"
"sc.account_properties_ex1_286","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_286"
"sc.account_properties_ex2_286","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_286"
"sc.account_properties_ex1_287","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_287"
