"id","name","product_id/id","warehouse_id/id","location_id/id","company_id/id","product_min_qty","product_max_qty","qty_multiple","lead_days"
"__setup__.stock_warehouse_orderpoint_1346","MCELE00278E","__setup__.product_template_1346","stock.warehouse0","stock.stock_location_stock","base.main_company","50.0","51.0","1","1"
"__setup__.stock_warehouse_orderpoint_1349","MCELE00345B","__setup__.product_template_1349","stock.warehouse0","stock.stock_location_stock","base.main_company","50.0","51.0","1","1"
"__setup__.stock_warehouse_orderpoint_1350","MCELE00285C","__setup__.product_template_1350","stock.warehouse0","stock.stock_location_stock","base.main_company","50.0","51.0","1","1"
"__setup__.stock_warehouse_orderpoint_1045","MCFAS00256B","__setup__.product_template_1045","stock.warehouse0","stock.stock_location_stock","base.main_company","5000.0","5001.0","1","1"
"__setup__.stock_warehouse_orderpoint_1582","MCFOM00083A","__setup__.product_template_1582","stock.warehouse0","stock.stock_location_stock","base.main_company","250.0","251.0","1","1"
"__setup__.stock_warehouse_orderpoint_1743","MCPLA01562A","__setup__.product_template_1743","stock.warehouse0","stock.stock_location_stock","base.main_company","150.0","151.0","1","1"
"__setup__.stock_warehouse_orderpoint_1537","60399","__setup__.product_template_1537","stock.warehouse0","stock.stock_location_stock","base.main_company","4.0","5.0","1","1"
"__setup__.stock_warehouse_orderpoint_616","MCOTH00508A","__setup__.product_template_616","stock.warehouse0","stock.stock_location_stock","base.main_company","400.0","401.0","1","1"
"__setup__.stock_warehouse_orderpoint_1936","HWPCB00756C","__setup__.product_template_1936","stock.warehouse0","stock.stock_location_stock","base.main_company","550.0","551.0","1","1"
"__setup__.stock_warehouse_orderpoint_1538","60400","__setup__.product_template_1538","stock.warehouse0","stock.stock_location_stock","base.main_company","4.0","5.0","1","1"
"__setup__.stock_warehouse_orderpoint_1756","MCLAB00588A","__setup__.product_template_1756","stock.warehouse0","stock.stock_location_stock","base.main_company","250.0","251.0","1","1"
"__setup__.stock_warehouse_orderpoint_1972","60424","__setup__.product_template_1972","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_297","MCFAS00423A","__setup__.product_template_297","stock.warehouse0","stock.stock_location_stock","base.main_company","830.0","831.0","1","1"
"__setup__.stock_warehouse_orderpoint_313","60164","__setup__.product_template_313","stock.warehouse0","stock.stock_location_stock","base.main_company","335.0","336.0","1","1"
"__setup__.stock_warehouse_orderpoint_1523","MCLAB00532A","__setup__.product_template_1523","stock.warehouse0","stock.stock_location_stock","base.main_company","180.0","181.0","1","1"
"__setup__.stock_warehouse_orderpoint_1455","60396","__setup__.product_template_1455","stock.warehouse0","stock.stock_location_stock","base.main_company","30.0","31.0","1","1"
"__setup__.stock_warehouse_orderpoint_2036","MCMOT00034A","__setup__.product_template_2036","stock.warehouse0","stock.stock_location_stock","base.main_company","1000.0","1001.0","1","1"
"__setup__.stock_warehouse_orderpoint_786","60297","__setup__.product_template_786","stock.warehouse0","stock.stock_location_stock","base.main_company","150.0","151.0","1","1"
"__setup__.stock_warehouse_orderpoint_1437","60382","__setup__.product_template_1437","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_1578","60403","__setup__.product_template_1578","stock.warehouse0","stock.stock_location_stock","base.main_company","150.0","151.0","1","1"
"__setup__.stock_warehouse_orderpoint_310","MCANT00013A","__setup__.product_template_310","stock.warehouse0","stock.stock_location_stock","base.main_company","500.0","501.0","1","1"
"__setup__.stock_warehouse_orderpoint_790","60301","__setup__.product_template_790","stock.warehouse0","stock.stock_location_stock","base.main_company","500.0","501.0","1","1"
"__setup__.stock_warehouse_orderpoint_1971","60423","__setup__.product_template_1971","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_1976","60426","__setup__.product_template_1976","stock.warehouse0","stock.stock_location_stock","base.main_company","100.0","101.0","1","1"
"__setup__.stock_warehouse_orderpoint_739","60285","__setup__.product_template_739","stock.warehouse0","stock.stock_location_stock","base.main_company","20.0","21.0","1","1"
"__setup__.stock_warehouse_orderpoint_1987","60428","__setup__.product_template_1987","stock.warehouse0","stock.stock_location_stock","base.main_company","50.0","51.0","1","1"
"__setup__.stock_warehouse_orderpoint_960","60353","__setup__.product_template_960","stock.warehouse0","stock.stock_location_stock","base.main_company","20.0","21.0","1","1"
"__setup__.stock_warehouse_orderpoint_781","60292","__setup__.product_template_781","stock.warehouse0","stock.stock_location_stock","base.main_company","30.0","31.0","1","1"
"__setup__.stock_warehouse_orderpoint_1980","60427","__setup__.product_template_1980","stock.warehouse0","stock.stock_location_stock","base.main_company","500.0","501.0","1","1"
"__setup__.stock_warehouse_orderpoint_547","60221","__setup__.product_template_547","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_1370","HWPCB00811A","__setup__.product_template_1370","stock.warehouse0","stock.stock_location_stock","base.main_company","400.0","401.0","1","1"
"__setup__.stock_warehouse_orderpoint_1589","MCLAB00530B","__setup__.product_template_1589","stock.warehouse0","stock.stock_location_stock","base.main_company","100.0","101.0","1","1"
"__setup__.stock_warehouse_orderpoint_1625","MCANT00011A","__setup__.product_template_1625","stock.warehouse0","stock.stock_location_stock","base.main_company","500.0","501.0","1","1"
"__setup__.stock_warehouse_orderpoint_1681","MCLAB00564A","__setup__.product_template_1681","stock.warehouse0","stock.stock_location_stock","base.main_company","2000.0","2001.0","1","1"
"__setup__.stock_warehouse_orderpoint_1655","MCCBL00078A","__setup__.product_template_1655","stock.warehouse0","stock.stock_location_stock","base.main_company","600.0","601.0","1","1"
"__setup__.stock_warehouse_orderpoint_1616","60332B","__setup__.product_template_1616","stock.warehouse0","stock.stock_location_stock","base.main_company","250.0","251.0","1","1"
"__setup__.stock_warehouse_orderpoint_1588","MCLAB00552A","__setup__.product_template_1588","stock.warehouse0","stock.stock_location_stock","base.main_company","100.0","101.0","1","1"
"__setup__.stock_warehouse_orderpoint_1388","TBD","__setup__.product_template_1388","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_1297","HWPCB00725B","__setup__.product_template_1297","stock.warehouse0","stock.stock_location_stock","base.main_company","90.0","91.0","1","1"
"__setup__.stock_warehouse_orderpoint_1442","MCCBL00079A","__setup__.product_template_1442","stock.warehouse0","stock.stock_location_stock","base.main_company","400.0","401.0","1","1"
"__setup__.stock_warehouse_orderpoint_548","60222","__setup__.product_template_548","stock.warehouse0","stock.stock_location_stock","base.main_company","6210.0","6211.0","1","1"
"__setup__.stock_warehouse_orderpoint_1587","MCLAB00553A","__setup__.product_template_1587","stock.warehouse0","stock.stock_location_stock","base.main_company","100.0","101.0","1","1"
"__setup__.stock_warehouse_orderpoint_1524","MCLAB00536A","__setup__.product_template_1524","stock.warehouse0","stock.stock_location_stock","base.main_company","180.0","181.0","1","1"
"__setup__.stock_warehouse_orderpoint_541","80215","__setup__.product_template_541","stock.warehouse0","stock.stock_location_stock","base.main_company","100.0","101.0","1","1"
"__setup__.stock_warehouse_orderpoint_1441","60384","__setup__.product_template_1441","stock.warehouse0","stock.stock_location_stock","base.main_company","50.0","51.0","1","1"
"__setup__.stock_warehouse_orderpoint_1480","HWPCB00772A","__setup__.product_template_1480","stock.warehouse0","stock.stock_location_stock","base.main_company","200.0","201.0","1","1"
"__setup__.stock_warehouse_orderpoint_728","60277","__setup__.product_template_728","stock.warehouse0","stock.stock_location_stock","base.main_company","10.0","11.0","1","1"
"__setup__.stock_warehouse_orderpoint_942","MCOTH00518A","__setup__.product_template_942","stock.warehouse0","stock.stock_location_stock","base.main_company","625.0","626.0","1","1"
"__setup__.stock_warehouse_orderpoint_1435","60380","__setup__.product_template_1435","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_1298","MCPKG00979A","__setup__.product_template_1298","stock.warehouse0","stock.stock_location_stock","base.main_company","250.0","251.0","1","1"
"__setup__.stock_warehouse_orderpoint_1727","MCPLA01454B","__setup__.product_template_1727","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_1358","MCPLA01403A","__setup__.product_template_1358","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_1636","MCOTH00509A","__setup__.product_template_1636","stock.warehouse0","stock.stock_location_stock","base.main_company","700.0","701.0","1","1"
"__setup__.stock_warehouse_orderpoint_1900","SF_EBPP_FLEX_HW0","__setup__.product_template_1900","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_1593","MCLAB00554A","__setup__.product_template_1593","stock.warehouse0","stock.stock_location_stock","base.main_company","100.0","101.0","1","1"
"__setup__.stock_warehouse_orderpoint_546","60220","__setup__.product_template_546","stock.warehouse0","stock.stock_location_stock","base.main_company","600.0","601.0","1","1"
"__setup__.stock_warehouse_orderpoint_841","60322","__setup__.product_template_841","stock.warehouse0","stock.stock_location_stock","base.main_company","200.0","201.0","1","1"
"__setup__.stock_warehouse_orderpoint_1557","MCCBL00069A","__setup__.product_template_1557","stock.warehouse0","stock.stock_location_stock","base.main_company","150.0","151.0","1","1"
"__setup__.stock_warehouse_orderpoint_1594","MCLAB00555A","__setup__.product_template_1594","stock.warehouse0","stock.stock_location_stock","base.main_company","100.0","101.0","1","1"
"__setup__.stock_warehouse_orderpoint_1439","MCLAB00571A","__setup__.product_template_1439","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_1548","MCFAS00409B","__setup__.product_template_1548","stock.warehouse0","stock.stock_location_stock","base.main_company","2000.0","2001.0","1","1"
"__setup__.stock_warehouse_orderpoint_1755","CPICS02357A","__setup__.product_template_1755","stock.warehouse0","stock.stock_location_stock","base.main_company","750.0","751.0","1","1"
"__setup__.stock_warehouse_orderpoint_1543","MCPKG00956A","__setup__.product_template_1543","stock.warehouse0","stock.stock_location_stock","base.main_company","335.0","336.0","1","1"
"__setup__.stock_warehouse_orderpoint_1643","MCFAS00424A","__setup__.product_template_1643","stock.warehouse0","stock.stock_location_stock","base.main_company","1500.0","1501.0","1","1"
