"id","company_id/id","name","origin","partner_id/id","date_order","pricelist_id/id","incoterm/id","user_id/id","confirmation_date","client_order_ref","state"
"__setup__.sale_order_8154","__setup__.company_inc","Q201704211028","","__setup__.res_partner_7154","2017-04-21","product.list0","stock.incoterm_DAP","__setup__.res_users_142","","","draft"
"__setup__.sale_order_8153","__setup__.company_inc","Q201704211027","","__setup__.res_partner_7154","2017-04-21","product.list0","stock.incoterm_DAP","__setup__.res_users_142","","","draft"
"__setup__.sale_order_8361","__setup__.company_inc","Q201705151109","","__setup__.res_partner_1020","2017-05-15","product.list0","stock.incoterm_EXW","__setup__.res_users_142","2017-05-15","0013825","sale"
"__setup__.sale_order_8307","base.main_company","Q201705096581","","__setup__.res_partner_6274","2017-05-09","product.list0","stock.incoterm_DAP","__setup__.res_users_52","2017-05-10","CSS SF02-17","done"
"__setup__.sale_order_9352","base.main_company","Q201709087354","","__setup__.res_partner_1099","2017-09-08","product.list0","stock.incoterm_FCA","__setup__.res_users_201","2017-09-11","HK-EB-20170905-115-01","sale"
"__setup__.sale_order_8090","__setup__.company_inc","Q201704131005","","__setup__.res_partner_3970","2017-04-13","product.list0","stock.incoterm_EXW","__setup__.res_users_142","2017-04-13","0100064704","done"
"__setup__.sale_order_8197","base.main_company","Q201704276513","","__setup__.res_partner_5846","2017-04-27","product.list0","","__setup__.res_users_192","","G38932","draft"
"__setup__.sale_order_8125","__setup__.company_inc","Q201704191017","","__setup__.res_partner_6971","2017-04-19","product.list0","stock.incoterm_DAP","__setup__.res_users_142","2017-04-24","4500280146","sale"
"__setup__.sale_order_9104","__setup__.company_inc","Q201708091372","","__setup__.res_partner_6583","2017-08-09","product.list0","stock.incoterm_EXW","__setup__.res_users_142","2017-08-09","9802-P","done"
"__setup__.sale_order_8559","base.main_company","Q201706076765","","__setup__.res_partner_2689","2017-06-07","product.list0","stock.incoterm_DAP","__setup__.res_users_77","","","draft"
"__setup__.sale_order_8392","base.main_company","Q201705196636","","__setup__.res_partner_6808","2017-05-19","product.list0","stock.incoterm_EXW","__setup__.res_users_52","2017-05-19","2017.05.19","done"
