"id","groups_id/id"
"__setup__.res_users_105","helpdesk.group_helpdesk_user"
"__setup__.res_users_192","sales_team.group_sale_salesman_all_leads,stock.group_stock_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_157","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_103","helpdesk.group_helpdesk_user"
"__setup__.res_users_109","sales_team.group_sale_salesman,stock.group_stock_user,purchase.group_purchase_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_200","sales_team.group_sale_salesman_all_leads,stock.group_stock_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_113","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_71","sales_team.group_sale_salesman_all_leads,stock.group_stock_user,mrp.group_mrp_user,account.group_account_user,purchase.group_purchase_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_204","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_205","sf_rma.group_rma_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_165","sf_rma.group_rma_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_17","sf_rma.group_rma_manager,sales_team.group_sale_salesman_all_leads,stock.group_stock_user,mrp.group_mrp_user,purchase.group_purchase_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_67","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_182","sf_rma.group_rma_manager,sales_team.group_sale_manager,stock.group_stock_manager,mrp.group_mrp_manager,account.group_account_manager,purchase.group_purchase_manager,helpdesk.group_helpdesk_manager,base.group_system"
"__setup__.res_users_130","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_37","sf_rma.group_rma_user,sales_team.group_sale_salesman_all_leads,stock.group_stock_manager,mrp.group_mrp_manager,purchase.group_purchase_manager,helpdesk.group_helpdesk_user"
"__setup__.res_users_131","sales_team.group_sale_salesman_all_leads,stock.group_stock_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_202","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_43","sf_rma.group_rma_user,sales_team.group_sale_salesman_all_leads,stock.group_stock_user,mrp.group_mrp_manager,purchase.group_purchase_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_199","sf_rma.group_rma_user,sales_team.group_sale_salesman,stock.group_stock_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_167","sf_rma.group_rma_user,mrp.group_mrp_user,helpdesk.group_helpdesk_user"
