"id","company_id/id","partner_id/id","number","currency_id/id","date_invoice","journal_id/id","account_id/id","type","state","origin","reference_type","reference","comment"
"__setup__.account_invoice_37152","base.main_company","__setup__.res_partner_65","EXJ/2017/23088","base.CHF","2017-12-01","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","draft","","none","","2062492"
"__setup__.account_invoice_37153","base.main_company","__setup__.res_partner_65","EXJ/2017/23089","base.CHF","2017-12-01","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","draft","","none","","2062788"
"__setup__.account_invoice_37154","base.main_company","__setup__.res_partner_65","EXJ/2017/23090","base.CHF","2017-12-01","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","draft","","none","","2057217"
"__setup__.account_invoice_37155","base.main_company","__setup__.res_partner_65","EXJ/2017/23091","base.CHF","2017-12-01","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","draft","","none","","2059156"
"__setup__.account_invoice_37156","base.main_company","__setup__.res_partner_65","EXJ/2017/23092","base.CHF","2017-12-01","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","draft","","none","","2058688"
"__setup__.account_invoice_37157","base.main_company","__setup__.res_partner_65","EXJ/2017/23093","base.CHF","2017-12-01","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","draft","","none","","2058605"
"__setup__.account_invoice_37158","base.main_company","__setup__.res_partner_65","EXJ/2017/23094","base.CHF","2017-12-01","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","draft","","none","","2058687"
"__setup__.account_invoice_37159","base.main_company","__setup__.res_partner_65","EXJ/2017/23095","base.CHF","2017-12-01","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","draft","","none","","2054835"
"__setup__.account_invoice_37165","base.main_company","__setup__.res_partner_65","EXJ/2017/23099","base.CHF","2017-12-01","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","draft","","none","","2058134"
"__setup__.account_invoice_37168","base.main_company","__setup__.res_partner_65","EXJ/2017/23100","base.CHF","2017-12-01","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","draft","","none","","2059210"
"__setup__.account_invoice_37197","base.main_company","__setup__.res_partner_57","EXJ/2017/23121","base.CHF","2017-12-01","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","draft","","none","","222305499"
"__setup__.account_invoice_37198","base.main_company","__setup__.res_partner_57","EXJ/2017/23122","base.CHF","2017-12-01","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","draft","","none","","222311062"
"__setup__.account_invoice_37199","base.main_company","__setup__.res_partner_57","EXJ/2017/23123","base.CHF","2017-12-01","__setup__.account_journal_8","l10n_ch.1_ch_coa_2000","in_invoice","draft","","none","","222311060"
