"id","code","name","active","street","street2","city","zip","country/id","phone","fax","state","email","clearing","bic","ccp"
"__setup__.res_bank_3739","","UBS AG","true","Promenade 48","","Davos Platz 1","7270","base.ch","081 415 11 11","","","","","UBSWCHZH72D",""
"__setup__.res_bank_3740","","UBS AG","true","Bahnhofstrasse 6","","Klosters","7250","base.ch","081 423 38 00","","","","","UBSWCHZH72D",""
"__setup__.res_bank_3741","","UBS AG","true","Bahnhofstrasse 11","","Brugg AG","5201","base.ch","056 460 81 00","","","","","UBSWCHZH52A",""
"__setup__.res_bank_3742","","UBS AG","true","Hauptstrasse 44","","Düdingen","3186","base.ch","026 492 77 77","","","","","UBSWCHZH31A",""
"__setup__.res_bank_3743","","UBS AG","true","Rorschacherstrasse 1","","Altstätten SG","9450","base.ch","071 757 56 56","","","","","UBSWCHZH94N",""
"__setup__.res_bank_3744","","UBS AG","true","Kirchstrasse 2","","Heerbrugg","9435","base.ch","071 727 91 11","","","","","UBSWCHZH94N",""
"__setup__.res_bank_3745","","UBS AG","true","Zugerstrasse 22","","Horgen 1","8810","base.ch","044 728 85 11","","","","","UBSWCHZH88A",""
"__setup__.res_bank_3746","","UBS AG","true","Gotthardstrasse 40","","Thalwil","8800","base.ch","044 722 93 11","","","","","UBSWCHZH88A",""
"__setup__.res_bank_3747","","UBS AG","true","Zugerstrasse 11","","Wädenswil","8820","base.ch","044 783 85 85","","","","","UBSWCHZH88A",""
"__setup__.res_bank_3748","","UBS AG","true","Seedammstrasse 3","","Pfäffikon SZ","8808","base.ch","055 416 37 11","","","","","UBSWCHZH88A",""
"__setup__.res_bank_3749","","UBS AG","true","Bahnhofplatz 3","","Lachen SZ","8853","base.ch","055 451 66 11","","","","","UBSWCHZH88B",""
"__setup__.res_bank_3750","","UBS AG","true","Klosterplatz","","Einsiedeln","8840","base.ch","055 418 77 11","","","","","UBSWCHZH88B",""
"__setup__.res_bank_3751","","UBS AG","true","Hauptstrasse 37","","Kreuzlingen 1","8280","base.ch","071 677 81 11","","","","","UBSWCHZH82P",""
"__setup__.res_bank_3752","","UBS AG","true","Rathausstrasse 11","","Weinfelden","8570","base.ch","071 626 46 46","","","","","UBSWCHZH85B",""
"__setup__.res_bank_3753","","UBS AG","true","St. Gallerstrasse 5","","Buchs SG 1","9471","base.ch","081 755 42 42","","","","","UBSWCHZH94P",""
"__setup__.res_bank_3754","","UBS AG","true","Am Platz 8","","Bad Ragaz","7310","base.ch","081 303 48 00","","","","","UBSWCHZH94P",""
"__setup__.res_bank_3755","","UBS AG","true","Plazza Mauritius/Via Maistra 14","","St. Moritz 1","7500","base.ch","081 837 70 00","","","","","UBSWCHZH75A",""
"__setup__.res_bank_3756","","UBS SA","true","Plazza da Cumün","","Poschiavo","7742","base.ch","081 839 78 00","","","","","UBSWCHZH75A",""
"__setup__.res_bank_3757","","UBS AG","true","Neugutstrasse 4","","Wallisellen","8304","base.ch","044 877 95 95","","","","","UBSWCHZH83B",""
"__setup__.res_bank_3758","","UBS AG","true","Bahnhofplatz 13","","Dietikon 1","8953","base.ch","044 743 85 11","","","","","UBSWCHZH89D",""
"__setup__.res_bank_3759","","UBS AG","true","Zürcherstrasse 18","","Schlieren","8952","base.ch","044 733 41 11","","","","","UBSWCHZH89D",""
"__setup__.res_bank_3760","","UBS AG","true","Bellevue / Theaterstrasse 20","","Zürich","8098","base.ch","044 265 91 11","","","","","UBSWCHZH80G",""
"__setup__.res_bank_3761","","UBS SA","true","Rue du Jura 11","","Porrentruy 1","2900","base.ch","032 465 25 25","","","","","UBSWCHZH29A",""
"__setup__.res_bank_3762","","UBS SA","true","Rue de l'Avenir 5","","Delémont 1","2800","base.ch","032 424 53 53","","","","","UBSWCHZH29A",""
"__setup__.res_bank_3763","","UBS AG","true","Bälliz 1","","Thun","3601","base.ch","033 225 51 11","","","","","UBSWCHZH36A",""
"__setup__.res_bank_3764","","UBS AG","true","Promenade 780 B","","Gstaad","3780","base.ch","033 748 85 11","","","","","UBSWCHZH36A",""
"__setup__.res_bank_3765","","UBS AG","true","Rawilstrasse 5","","Lenk im Simmental","3775","base.ch","033 736 78 88","","","","","UBSWCHZH36A",""
