"id","move_id/id","company_id/id","ref","name","currency_id/id","date","quantity","debit","credit","account_id/id","journal_id/id","product_id/id","amount_currency"
"__setup__.account_move_line_1475606","__setup__.account_move_97640","base.main_company","Ext - Corrections suite audit","Ext - Correction charges à payer facture MOUVENT","","2018-01-01","0.0","2726.45","0.0","__setup__.account_account_416","__setup__.account_journal_5","","0.0"
"__setup__.account_move_line_1475607","__setup__.account_move_97640","base.main_company","Ext - Corrections suite audit","Ext - Correction charges à payer facture MOUVENT","","2018-01-01","0.0","0.0","2726.45","__setup__.account_account_1478","__setup__.account_journal_5","","0.0"
