"id","groups_id/id"
"__setup__.res_users_11","sf_rma.group_rma_user,sales_team.group_sale_salesman_all_leads,sf_stock.group_delivery_method_manager,stock.group_stock_manager,mrp.group_mrp_user,purchase.group_purchase_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_32","sf_rma.group_rma_user,sales_team.group_sale_salesman_all_leads,stock.group_stock_user,sf_product.group_product_validator,account.group_account_user,account_payment_order.group_account_payment,account_tag_category.group_account_tag_category,account.group_account_manager,purchase.group_purchase_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_144","sf_rma.group_rma_manager,sales_team.group_sale_manager,stock.group_stock_manager,mrp.group_mrp_manager,account.group_account_manager,purchase.group_purchase_manager,helpdesk.group_helpdesk_user"
"__setup__.res_users_16","sales_team.group_sale_manager,stock.group_stock_user,sf_product.group_product_validator,account.group_account_invoice,purchase.group_purchase_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_154","sf_rma.group_rma_manager,sales_team.group_sale_manager,sf_product.group_product_validator,stock.group_stock_manager,mrp.group_mrp_manager,account.group_account_manager,purchase.group_purchase_manager,helpdesk.group_helpdesk_manager,base.group_system"
"__setup__.res_users_17","sf_rma.group_rma_manager,sales_team.group_sale_salesman_all_leads,stock.group_stock_user,mrp.group_mrp_user,purchase.group_purchase_user,helpdesk.group_helpdesk_user"
"__setup__.res_users_182","sf_rma.group_rma_manager,sales_team.group_sale_manager,stock.group_stock_manager,mrp.group_mrp_manager,account.group_account_manager,purchase.group_purchase_manager,helpdesk.group_helpdesk_manager,base.group_system"
"__setup__.res_users_37","sf_rma.group_rma_user,sales_team.group_sale_salesman_all_leads,sf_product.group_product_validator,stock.group_stock_manager,mrp.group_mrp_manager,purchase.group_purchase_manager,helpdesk.group_helpdesk_user"
"__setup__.res_users_43","sf_rma.group_rma_user,sales_team.group_sale_salesman_all_leads,stock.group_stock_user,sf_product.group_product_validator,mrp.group_mrp_manager,purchase.group_purchase_user,helpdesk.group_helpdesk_user"
